Date,Open,High,Low,Close,Volume,Adj Close,0,1
2014-03-27,568.00257,568.00257,552.922516,558.462551,13100,558.462551,,558.462551
2014-03-28,561.202549,566.43259,558.672477,559.992504,41200,559.992504,,559.30402515
2014-03-31,566.892592,567.002574,556.932537,556.972503,10800,556.972503,,558.366768738
2014-04-01,558.712565,568.452595,558.712565,567.162558,7900,567.162558,,561.264589408
2014-04-02,599.992707,604.832763,562.192568,567.002574,147100,567.002574,,562.911808725
2014-04-03,569.852553,587.282679,564.132581,569.742571,5099200,569.742571,,564.685993635
2014-04-04,574.652643,577.77265,543.002488,543.14246,6369300,543.14246,,559.494867454
2014-04-07,540.742445,548.482483,527.15244,538.152456,4401700,538.152456,,554.639365993
2014-04-08,542.602466,555.0025,541.612446,554.902556,3151200,554.902556,,554.696626928
2014-04-09,559.622532,565.372554,552.952506,564.142557,3330800,564.142557,,556.680802774
2014-04-10,565.002582,565.002582,539.902495,540.952433,4036900,540.952433,,553.467693464
2014-04-11,532.552381,540.00244,526.532392,530.602392,3924800,530.602392,,548.89924808
2014-04-14,538.252462,544.102429,529.56237,532.522453,2575100,532.522453,,545.684986775
2014-04-15,536.822454,538.452473,518.462348,536.442444,3855100,536.442444,,543.896801023
2014-04-16,543.002488,557.002492,540.00244,556.54249,4893300,556.54249,,546.315217821
2014-04-17,548.81249,549.502492,531.152424,536.1024,6809500,536.1024,,544.380312706
2014-04-21,536.1024,536.702435,525.602352,528.622414,2566700,528.622414,,541.417481863
2014-04-22,528.642427,537.232391,527.512375,534.812425,2365400,534.812425,,540.183243122
2014-04-23,533.792415,533.872408,526.252389,526.942391,2052300,526.942391,,537.721440383
2014-04-24,530.072374,531.652452,522.122349,525.162363,1883200,525.162363,,535.395946382
2014-04-25,522.512395,524.702361,515.422333,516.182352,2100400,516.182352,,531.85013779
2014-04-28,517.182348,518.602319,502.802274,517.152359,3335500,517.152359,,529.14509002
2014-04-29,516.902344,529.462425,516.322324,527.70241,2699100,527.70241,,528.880162317
2014-04-30,527.602343,528.002366,522.522372,526.662388,1751200,526.662388,,528.473638456
2014-05-01,527.112352,532.932391,523.882364,531.352374,1905500,531.352374,,529.000536095
2014-05-02,533.762426,534.002403,525.612389,527.932411,1688500,527.932411,,528.805272972
2014-05-05,524.822381,528.902418,521.322364,527.812392,1024100,527.812392,,528.623944873
2014-05-06,525.232379,526.812396,515.062337,515.14233,1689000,515.14233,,526.163814188
2014-05-07,515.792305,516.68232,503.302272,509.962291,3224300,509.962291,,523.209310076
2014-05-08,508.462297,517.23229,506.452298,511.002313,2021300,511.002313,,520.984451043
2014-05-09,510.75233,519.902393,504.202292,518.732314,2439500,518.732314,,520.574156049
2014-05-12,523.512391,530.192393,519.012379,529.922366,1912500,529.922366,,522.276599229
2014-05-13,530.892433,536.072411,529.512428,533.092437,1653400,533.092437,,524.2457353
2014-05-14,533.002407,533.002407,525.292358,526.652412,1191800,526.652412,,524.683789776
2014-05-15,525.702357,525.872379,517.422325,519.982324,1704400,519.982324,,523.828215735
2014-05-16,521.39238,521.802379,515.442347,520.632362,1485300,520.632362,,523.246727645
2014-05-19,519.702382,529.782456,517.58537,528.862391,1277800,528.862391,,524.26836652
2014-05-20,529.742368,536.232396,526.302392,529.772418,1784800,529.772418,,525.269591608
2014-05-21,532.902462,539.185441,531.912381,538.942465,1196300,538.942465,,527.756561278
2014-05-22,541.132431,547.602445,540.782472,545.062459,1615800,545.062459,,530.904116073
2014-05-23,547.262462,553.642508,543.702467,552.702492,1932200,552.702492,,534.868516454
2014-05-27,556.002496,566.002578,554.352463,565.952575,2104200,565.952575,,540.521399303
2014-05-28,564.57257,567.842585,561.002537,561.682502,1652000,561.682502,,544.369560849
2014-05-29,563.352549,564.002525,558.712565,560.082534,1354100,560.082534,,547.226883227
2014-05-30,560.802526,561.352496,555.912467,559.892559,1771100,559.892559,,549.530009146
2014-06-02,560.702581,560.902593,545.732448,553.932488,1435000,553.932488,,550.330538274
2014-06-03,550.99248,552.342557,542.552463,544.942501,1866600,544.942501,,549.350816602
2014-06-04,541.502464,548.612478,538.752429,544.662436,1816500,544.662436,,548.498327856
2014-06-05,546.402499,554.952498,544.452449,553.90256,1689100,553.90256,,549.480968246
2014-06-06,558.062528,558.062528,548.932448,556.332564,1736800,556.332564,539.70044548,550.726767623
2014-06-09,557.152562,562.902584,556.042523,562.122552,1467500,562.122552,539.7736455,552.798802847
2014-06-10,560.512546,563.602502,557.902544,560.552511,1351700,560.552511,539.78484564,554.208609399
2014-06-11,558.002549,559.882522,555.022514,558.842561,1100100,558.842561,539.8222468,555.051166314
2014-06-12,557.302509,557.992512,548.462531,551.352476,1458500,551.352476,539.50604516,554.378663935
2014-06-13,552.262503,552.302469,545.562488,551.762536,1220500,551.762536,539.2012444,553.902996654
2014-06-16,549.262515,549.62245,541.522477,544.282488,1702600,544.282488,538.69204274,552.153790225
2014-06-17,544.202496,545.32245,539.33245,543.012465,1444600,543.012465,538.68944284,550.491713183
2014-06-18,544.862448,553.562516,544.002484,553.372481,1741800,553.372481,538.99384334,551.015493768
2014-06-19,554.242482,555.0025,548.512473,554.902556,2456800,554.902556,538.99384334,551.722237453
2014-06-20,556.852484,557.582513,550.394526,556.362492,4508300,556.362492,538.83824204,552.565925078
2014-06-23,555.152509,565.002582,554.252519,564.952579,1536800,564.952579,539.31824496,554.818054848
2014-06-24,565.192556,572.648612,561.012574,564.622572,2207100,564.622572,539.99864856,556.600701373
2014-06-25,565.262572,579.962616,565.222546,578.652627,1969400,578.652627,540.92125204,560.610155357
2014-06-26,581.002639,582.45266,571.852545,576.002598,1742000,576.002598,541.71245512,563.408788693
2014-06-27,577.182592,579.872648,573.802595,577.242632,2236900,577.242632,542.12645796,565.924038374
2014-06-30,578.662603,579.572631,574.752588,575.282606,1313800,575.282606,542.91006208,567.625599137
2014-07-01,578.32262,584.402649,576.652635,582.672624,1448000,582.672624,543.99106628,570.361425802
2014-07-02,583.352589,585.442672,580.392628,582.33766,1056400,582.33766,544.94157098,572.53892551
